Column Name				Unit				Description
pl_ratror								Ratio of Planet to Stellar Radius
pl_ratrorerr1								Ratio of Planet to Stellar Radius Upper Unc.
pl_ratrorerr2								Ratio of Planet to Stellar Radius Lower Unc.
pl_ratrorlim								Ratio of Planet to Stellar Radius Limit Flag
pl_occdep				%				Occultation Depth
pl_occdeperr1				%				Occultation Depth Upper Unc.
pl_occdeperr2				%				Occultation Depth Lower Unc.
pl_occdeplim								Occultation Depth Limit Flag
pl_orbtper				days				Epoch of Periastron
pl_orbtpererr1				days				Epoch of Periastron Upper Unc.
pl_orbtpererr2				days				Epoch of Periastron Lower Unc.
pl_orbtperlim								Epoch of Periastron Limit Flag
pl_orbtper_systemref								Epoch of Periastron Time System Frame and Standard
pl_orblper				deg				Argument of Periastron
pl_orblpererr1				deg				Argument of Periastron Upper Unc.
pl_orblpererr2				deg				Argument of Periastron Lower Unc.
pl_orblperlim								Argument of Periastron Limit Flag
pl_rvamp				m/s				Radial Velocity Amplitude
pl_rvamperr1				m/s				Radial Velocity Amplitude Upper Unc.
pl_rvamperr2				m/s				Radial Velocity Amplitude Lower Unc.
pl_rvamplim								Radial Velocity Amplitude Limit Flag
pl_projobliq				deg				Projected Obliquity
pl_projobliqerr1				deg				Projected Obliquity Upper Unc.
pl_projobliqerr2				deg				Projected Obliquity Lower Unc.
pl_projobliqlim								Projected Obliquity Limit Flag
pl_trueobliq				deg				True Obliquity
pl_trueobliqerr1				deg				True Obliquity Upper Unc.
pl_trueobliqerr2				deg				True Obliquity Lower Unc.
pl_trueobliqlim								True Obliquity Limit Flag
st_refname								Stellar Parameter Reference
st_spectype								Spectral Type
st_teff				K				Stellar Effective Temperature
st_tefferr1				K				Stellar Effective Temperature Upper Unc.
st_tefferr2				K				Stellar Effective Temperature Lower Unc.
st_tefflim								Stellar Effective Temperature Limit Flag
st_rad				Solar Radius				Stellar Radius
st_raderr1				Solar Radius				Stellar Radius Upper Unc.
st_raderr2				Solar Radius				Stellar Radius Lower Unc.
st_radlim								Stellar Radius Limit Flag
st_mass				Solar mass				Stellar Mass
st_masserr1				Solar mass				Stellar Mass Upper Unc.
st_masserr2				Solar mass				Stellar Mass Lower Unc.
st_masslim								Stellar Mass Limit Flag
st_met				dex				Stellar Metallicity
st_meterr1				dex				Stellar Metallicity Upper Unc.
st_meterr2				dex				Stellar Metallicity Lower Unc.
st_metlim								Stellar Metallicity Limit Flag
st_metratio								Stellar Metallicity Ratio
st_lum				log(Solar)				Stellar Luminosity
st_lumerr1				log(Solar)				Stellar Luminosity Upper Unc.
st_lumerr2				log(Solar)				Stellar Luminosity Lower Unc.
st_lumlim								Stellar Luminosity Limit Flag
st_logg				log10(cm/s**2)				Stellar Surface Gravity
st_loggerr1				log10(cm/s**2)				Stellar Surface Gravity Upper Unc.
st_loggerr2				log10(cm/s**2)				Stellar Surface Gravity Lower Unc.
st_logglim								Stellar Surface Gravity Limit Flag
st_age				Gyr				Stellar Age
st_ageerr1				Gyr				Stellar Age Upper Unc.
st_ageerr2				Gyr				Stellar Age Lower Unc.
st_agelim								Stellar Age Limit Flag
st_dens				g/cm**3				Stellar Density
st_denserr1				g/cm**3				Stellar Density Upper Unc.
st_denserr2				g/cm**3				Stellar Density Lower Unc.
st_denslim								Stellar Density Limit Flag
st_vsin				km/s				Stellar Rotational Velocity
st_vsinerr1				km/s				Stellar Rotational Velocity Upper Unc.
st_vsinerr2				km/s				Stellar Rotational Velocity Lower Unc.
st_vsinlim								Stellar Rotational Velocity Limit Flag
st_rotp				days				Stellar Rotational Period
